,Frame,xmin,xmax,ymin,ymax,label,type
0,003815.jpg,188.0,433.0,108.0,213.0,0.0,test
1,003815.jpg,231.0,259.0,1.0,54.0,1.0,test
2,003815.jpg,186.0,219.0,1.0,54.0,1.0,test
3,003815.jpg,242.0,274.0,11.0,95.0,1.0,test
4,003815.jpg,288.0,333.0,125.0,149.0,1.0,test
5,004193.jpg,144.0,246.0,187.0,287.0,2.0,trainval
6,004193.jpg,277.0,289.0,70.0,111.0,3.0,trainval
7,004193.jpg,290.0,305.0,68.0,107.0,3.0,trainval
8,004193.jpg,216.0,380.0,289.0,375.0,4.0,trainval
9,002863.jpg,358.0,500.0,1.0,375.0,1.0,test
10,002863.jpg,126.0,365.0,2.0,374.0,1.0,test
11,002863.jpg,176.0,210.0,40.0,75.0,1.0,test
12,002863.jpg,97.0,120.0,52.0,104.0,1.0,test
13,002863.jpg,128.0,140.0,54.0,103.0,1.0,test
14,002863.jpg,157.0,173.0,59.0,80.0,1.0,test
15,002863.jpg,141.0,153.0,54.0,88.0,1.0,test
16,007992.jpg,218.0,347.0,126.0,214.0,0.0,test
17,007992.jpg,17.0,34.0,28.0,67.0,1.0,test
18,007992.jpg,40.0,57.0,27.0,68.0,1.0,test
19,008015.jpg,206.0,310.0,96.0,273.0,5.0,test
20,003660.jpg,230.0,375.0,185.0,391.0,2.0,trainval
21,006987.jpg,417.0,474.0,83.0,133.0,2.0,trainval
22,006987.jpg,258.0,436.0,15.0,227.0,1.0,trainval
23,006987.jpg,155.0,259.0,62.0,221.0,1.0,trainval
24,006455.jpg,85.0,254.0,42.0,199.0,6.0,trainval
25,006455.jpg,119.0,167.0,11.0,137.0,1.0,trainval
26,004401.jpg,174.0,279.0,71.0,189.0,7.0,test
27,007752.jpg,354.0,409.0,168.0,245.0,4.0,test
28,007752.jpg,192.0,306.0,106.0,234.0,1.0,test
29,007752.jpg,8.0,58.0,14.0,70.0,8.0,test
30,004694.jpg,49.0,203.0,71.0,255.0,1.0,trainval
31,004694.jpg,95.0,202.0,185.0,466.0,9.0,trainval
32,004166.jpg,243.0,304.0,129.0,181.0,2.0,test
33,004166.jpg,485.0,500.0,189.0,222.0,4.0,test
34,004166.jpg,358.0,398.0,195.0,239.0,4.0,test
35,004166.jpg,300.0,355.0,205.0,254.0,4.0,test
36,004166.jpg,265.0,374.0,278.0,332.0,4.0,test
37,004166.jpg,1.0,99.0,199.0,332.0,10.0,test
38,004166.jpg,234.0,500.0,204.0,332.0,11.0,test
39,004166.jpg,210.0,257.0,194.0,234.0,7.0,test
40,002239.jpg,344.0,432.0,176.0,306.0,12.0,test
41,002239.jpg,297.0,349.0,181.0,266.0,12.0,test
42,002239.jpg,116.0,189.0,144.0,270.0,12.0,test
43,002239.jpg,341.0,424.0,79.0,283.0,1.0,test
44,002239.jpg,290.0,344.0,132.0,262.0,1.0,test
45,002239.jpg,111.0,186.0,61.0,245.0,1.0,test
46,002239.jpg,10.0,61.0,75.0,140.0,1.0,test
47,004228.jpg,42.0,429.0,71.0,262.0,0.0,trainval
48,004228.jpg,1.0,53.0,44.0,141.0,0.0,trainval
49,004228.jpg,40.0,122.0,56.0,87.0,0.0,trainval
50,004961.jpg,18.0,497.0,80.0,305.0,0.0,trainval
51,006887.jpg,187.0,294.0,107.0,190.0,1.0,trainval
52,006887.jpg,60.0,178.0,112.0,342.0,1.0,trainval
53,006887.jpg,131.0,332.0,161.0,358.0,1.0,trainval
54,006887.jpg,303.0,426.0,141.0,339.0,1.0,trainval
55,006887.jpg,14.0,152.0,166.0,351.0,4.0,trainval
56,004262.jpg,156.0,240.0,258.0,352.0,4.0,test
57,003234.jpg,77.0,139.0,112.0,372.0,1.0,test
58,003234.jpg,117.0,165.0,147.0,373.0,1.0,test
59,003234.jpg,163.0,220.0,127.0,175.0,1.0,test
60,003234.jpg,164.0,239.0,137.0,374.0,1.0,test
61,003234.jpg,235.0,292.0,118.0,373.0,1.0,test
62,003234.jpg,282.0,366.0,126.0,374.0,1.0,test
63,003234.jpg,330.0,499.0,72.0,373.0,0.0,test
64,005086.jpg,158.0,257.0,184.0,262.0,4.0,trainval
65,005086.jpg,39.0,144.0,145.0,375.0,1.0,trainval
66,005086.jpg,269.0,498.0,42.0,372.0,1.0,trainval
67,005086.jpg,99.0,347.0,259.0,375.0,11.0,trainval
68,007442.jpg,2.0,500.0,67.0,374.0,11.0,test
69,007442.jpg,419.0,500.0,52.0,219.0,4.0,test
70,007442.jpg,358.0,404.0,38.0,100.0,4.0,test
71,007442.jpg,228.0,296.0,2.0,44.0,4.0,test
72,007442.jpg,134.0,181.0,36.0,82.0,4.0,test
73,007442.jpg,43.0,124.0,41.0,184.0,4.0,test
74,007442.jpg,1.0,76.0,94.0,310.0,4.0,test
75,007442.jpg,82.0,141.0,2.0,117.0,1.0,test
76,007442.jpg,148.0,196.0,3.0,74.0,1.0,test
77,004270.jpg,280.0,433.0,120.0,375.0,1.0,trainval
78,004270.jpg,140.0,333.0,103.0,375.0,1.0,trainval
79,004270.jpg,97.0,302.0,215.0,375.0,4.0,trainval
80,004270.jpg,188.0,301.0,280.0,375.0,4.0,trainval
81,007274.jpg,1.0,497.0,108.0,264.0,13.0,trainval
82,004452.jpg,411.0,454.0,251.0,302.0,13.0,trainval
83,004545.jpg,213.0,427.0,69.0,375.0,6.0,test
84,004545.jpg,217.0,351.0,14.0,238.0,1.0,test
85,004545.jpg,144.0,199.0,202.0,347.0,7.0,test
86,004545.jpg,3.0,135.0,105.0,198.0,0.0,test
87,004545.jpg,432.0,451.0,123.0,181.0,1.0,test
88,004545.jpg,170.0,203.0,135.0,170.0,6.0,test
89,006345.jpg,98.0,462.0,1.0,256.0,2.0,test
90,006878.jpg,262.0,500.0,211.0,322.0,10.0,trainval
91,006878.jpg,1.0,296.0,204.0,375.0,10.0,trainval
92,001002.jpg,199.0,375.0,384.0,483.0,14.0,trainval
93,001002.jpg,102.0,213.0,366.0,416.0,14.0,trainval
94,001002.jpg,22.0,103.0,341.0,396.0,14.0,trainval
95,001002.jpg,1.0,28.0,341.0,374.0,14.0,trainval
96,007905.jpg,15.0,496.0,87.0,330.0,0.0,trainval
97,006174.jpg,49.0,388.0,76.0,374.0,7.0,trainval
